med_type_old,drug_std,med_type,broad_cat,drug_class,label,who_status
miscellaneous other,thymalfasin,miscellaneous other,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
miscellaneous other,thyme oil,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,thymosin,,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
miscellaneous other,tinzaparin,miscellaneous other,Anticoagulants,Heparin anticoagulants,Anticoagulants (Heparins),recommended
,tinzaparin,miscellaneous other,Anticoagulants,Heparin anticoagulants,Anticoagulants (Heparins),recommended
,tixagevimab,,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_recommended
kinase inhibitors,tl-895,kinase inhibitors,Immunotherapies (kinase inhibitor),BTK inhibitors,Immunotherapy (BTK inhibitors),not_addressed_trial_only
,tl-895,kinase inhibitors,Immunotherapies (kinase inhibitor),BTK inhibitors,Immunotherapy (BTK inhibitors),not_addressed_trial_only
monoclonal antibodies,tocilizumab,monoclonal antibodies,Immunotherapies (antibody based),IL‑6 receptor blockers,Immunotherapy (IL-6 blockers),recommended
,tocilizumab,monoclonal antibodies,Immunotherapies (antibody based),IL‑6 receptor blockers,Immunotherapy (IL-6 blockers),recommended
kinase inhibitors,tofacitinib,kinase inhibitors,Immunotherapies (kinase inhibitor),JAK inhibitors,Immunotherapy (JAK inhibitors),not_recommended
,tofacitinib,kinase inhibitors,Immunotherapies (kinase inhibitor),JAK inhibitors,Immunotherapy (JAK inhibitors),not_recommended
miscellaneous other,tramadol,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
others,traneurocin,others,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
miscellaneous other,treamid,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,triazavirin,,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
miscellaneous other,trifluoperazine,miscellaneous other,Anti-depressants,SSRI / Sigma‑1 agonist,Anti-depressants,not_addressed_trial_only
miscellaneous other,trihexyphenidyl,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,trimethoprim,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
antibiotics and antiparasitics,trimethoprim,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
monoclonal antibodies,ty027,monoclonal antibodies,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_addressed_trial_only
,ulinastatin,,Immunotherapies (other immunomodulators),Innate immune modulators and others,Immunotherapy (Innate/Other),not_addressed_trial_only
antiviral broad spectrum,umifenovir,antiviral broad spectrum,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
,umifenovir,antiviral broad spectrum,Antivirals (Broad spectrum / Other),Broad‑spectrum & host‑directed antivirals,Antivirals (Broad-spectrum/Other),not_addressed_trial_only
miscellaneous other,uttr1147a,miscellaneous other,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_addressed_trial_only
miscellaneous other,vadadustat,miscellaneous other,Adjuvant / Supportive,Other symptomatic & supportive agents,Other Supportive Care,not_addressed_trial_only
,valsartan,,Metabolic / cardiometabolic agents,Metabolic / cardiometabolic agents,Metabolic agents (Other),not_addressed_trial_only
antibiotics and antiparasitics,vancomycin,antibiotics and antiparasitics,Antiparasitics/Antibiotics,Macrolides / repurposed anti‑infectives,Antiparasitics/Antibiotics,not_addressed_trial_only
miscellaneous other,vasopressors,miscellaneous other,Adjuvant / Supportive,Respiratory & hemodynamic support,Respiratory/Hemodynamic Support,not_addressed_trial_only
other antiviral,velpatasvir,other antiviral,Antivirals (direct acting),RdRp inhibitors,Antivirals (Direct-acting),not_addressed_trial_only
monoclonal antibodies,vilobelimab,monoclonal antibodies,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
miscellaneous other,vitamin a,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,vitamin a,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,vitamin b,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,vitamin b,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,vitamin b12,,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,vitamin b3,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,vitamin c,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,vitamin c,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,vitamin d,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,vitamin d,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,vitamin d3,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,vitamin d3,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,vitamin e,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,vitamin k,,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,voclosporin,,Immunotherapies (other immunomodulators),Small‑molecule immunosuppressants / DMARDs,Immunotherapy (Small molecule),not_addressed_trial_only
,xav-19,,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_addressed_trial_only
miscellaneous other,xc221,miscellaneous other,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_addressed_trial_only
,xc221,miscellaneous other,Immunotherapies (antibody based),Anti‑spike monoclonal antibodies,Immunotherapy (Anti-spike mAbs),not_addressed_trial_only
kinase inhibitors,zanubrutinib,kinase inhibitors,Immunotherapies (kinase inhibitor),BTK inhibitors,Immunotherapy (BTK inhibitors),not_addressed_trial_only
nonspecific anti-inflammatory and immunosuppressive drugs,zilucoplan,nonspecific anti-inflammatory and immunosuppressive drugs,Immunotherapies (other immunomodulators),Biologic cytokine / receptor blockers,Immunotherapy (Other biologics),not_addressed_trial_only
,zinc,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,zinc,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,zinc chloride,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,zinc chloride,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,zinc citrate,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,zinc citrate,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
,zinc sulphate,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
miscellaneous other,zinc sulphate,miscellaneous other,Adjuvant / Supportive,Vitamins & supplements,Vitamins & Supplements,not_addressed_trial_only
